Date,Open,High,Low,Close,Volume
2024-01-02 09:30:00,4800.15,4800.83,4799.44,4800.0,1337
2024-01-02 09:45:00,4800.18,4801.04,4799.22,4800.7,761
2024-01-02 10:00:00,4801.77,4801.91,4801.17,4801.4,609
2024-01-02 10:15:00,4802.56,4802.68,4801.14,4802.09,798
2024-01-02 10:30:00,4801.8,4803.61,4801.42,4802.78,913
2024-01-02 10:45:00,4802.81,4804.38,4802.33,4803.46,1314
2024-01-02 11:00:00,4804.19,4804.84,4803.28,4804.13,951
2024-01-02 11:15:00,4804.63,4805.54,4804.16,4804.79,591
2024-01-02 11:30:00,4805.43,4806.02,4804.83,4805.43,834
2024-01-02 11:45:00,4805.64,4807.01,4805.52,4806.07,1100
2024-01-02 12:00:00,4807.12,4807.96,4805.9,4806.68,1313
2024-01-02 12:15:00,4807.67,4807.77,4806.7,4807.28,1228
2024-01-02 12:30:00,4807.9,4808.77,4807.47,4807.86,1492
2024-01-02 12:45:00,4808.99,4809.12,4807.62,4808.43,687
2024-01-02 13:00:00,4809.2,4809.96,4808.6,4808.97,1380
2024-01-02 13:15:00,4809.07,4809.75,4808.56,4809.49,555
2024-01-02 13:30:00,4810.18,4811.06,4809.78,4810.0,1058
2024-01-02 13:45:00,4810.0,4811.07,4809.54,4810.48,774
2024-01-02 14:00:00,4811.39,4811.76,4810.66,4810.95,701
2024-01-02 14:15:00,4811.37,4811.87,4811.03,4811.39,1157
2024-01-02 14:30:00,4811.73,4811.94,4810.95,4811.82,805
2024-01-02 14:45:00,4811.89,4812.44,4811.53,4812.23,1062
2024-01-02 15:00:00,4813.23,4813.93,4812.08,4812.62,760
2024-01-02 15:15:00,4812.91,4813.67,4811.93,4812.99,650
2024-01-02 15:30:00,4813.14,4814.0,4812.17,4813.35,1249
2024-01-02 15:45:00,4813.52,4814.14,4812.77,4813.7,932
2024-01-02 16:00:00,4814.3,4815.29,4813.44,4814.03,1178
2024-01-02 16:15:00,4814.54,4815.52,4814.01,4814.35,1169
2024-01-02 16:30:00,4814.88,4815.59,4814.43,4814.67,1445
2024-01-02 16:45:00,4815.19,4815.88,4814.01,4814.98,922
2024-01-02 17:00:00,4816.35,4817.07,4814.72,4815.28,719
2024-01-02 17:15:00,4815.38,4816.03,4815.18,4815.58,1133
2024-01-02 17:30:00,4815.63,4816.1,4814.97,4815.88,1434
2024-01-02 17:45:00,4815.78,4816.93,4814.98,4816.18,1467
2024-01-02 18:00:00,4816.8,4817.37,4815.84,4816.49,1367
2024-01-02 18:15:00,4817.36,4817.74,4815.87,4816.8,1183
2024-01-02 18:30:00,4817.06,4817.65,4816.92,4817.11,880
2024-01-02 18:45:00,4817.02,4818.34,4816.44,4817.44,891
2024-01-02 19:00:00,4817.36,4818.72,4816.85,4817.78,539
2024-01-02 19:15:00,4818.45,4818.87,4817.97,4818.12,687
2024-01-02 19:30:00,4818.86,4819.47,4817.81,4818.49,832
2024-01-02 19:45:00,4819.14,4819.52,4818.0,4818.86,845
2024-01-02 20:00:00,4818.92,4819.89,4818.29,4819.26,1079
2024-01-02 20:15:00,4819.78,4820.19,4819.33,4819.67,1011
2024-01-02 20:30:00,4820.16,4820.61,4819.24,4820.1,1192
2024-01-02 20:45:00,4820.65,4821.56,4819.99,4820.54,1391
2024-01-02 21:00:00,4821.45,4821.75,4820.45,4821.01,1377
2024-01-02 21:15:00,4821.61,4822.27,4820.72,4821.5,1275
2024-01-02 21:30:00,4822.35,4822.52,4821.77,4822.01,1476
2024-01-02 21:45:00,4822.57,4823.42,4821.7,4822.54,818
2024-01-02 22:00:00,4823.23,4824.04,4822.37,4823.08,1407
2024-01-02 22:15:00,4823.96,4824.28,4822.84,4823.65,1424
2024-01-02 22:30:00,4823.5,4825.12,4823.23,4824.23,723
2024-01-02 22:45:00,4824.68,4824.99,4823.85,4824.84,970
2024-01-02 23:00:00,4825.22,4825.86,4824.95,4825.45,1069
2024-01-02 23:15:00,4825.77,4826.32,4825.6,4826.09,1193
2024-01-02 23:30:00,4826.6,4827.24,4825.73,4826.74,1200
2024-01-02 23:45:00,4828.15,4828.96,4826.52,4827.4,607
2024-01-03 00:00:00,4827.64,4828.38,4826.75,4828.07,976
2024-01-03 00:15:00,4829.24,4829.38,4828.23,4828.75,604
2024-01-03 00:30:00,4828.6,4829.91,4828.25,4829.44,1457
2024-01-03 00:45:00,4829.97,4830.41,4829.86,4830.14,701
2024-01-03 01:00:00,4830.92,4831.1,4830.15,4830.83,949
2024-01-03 01:15:00,4831.83,4832.45,4830.79,4831.53,1384
2024-01-03 01:30:00,4832.59,4832.96,4831.38,4832.23,1022
2024-01-03 01:45:00,4833.33,4834.03,4832.58,4832.93,1179
2024-01-03 02:00:00,4833.45,4833.9,4833.16,4833.62,999
2024-01-03 02:15:00,4834.08,4835.26,4833.4,4834.31,1349
2024-01-03 02:30:00,4835.42,4835.85,4834.16,4834.99,1093
2024-01-03 02:45:00,4835.56,4835.85,4834.59,4835.66,1144
2024-01-03 03:00:00,4835.68,4836.98,4835.44,4836.31,953
2024-01-03 03:15:00,4836.39,4837.89,4835.86,4836.96,906
2024-01-03 03:30:00,4837.13,4838.08,4836.22,4837.59,1093
2024-01-03 03:45:00,4838.45,4839.41,4837.72,4838.2,1016
2024-01-03 04:00:00,4838.87,4839.42,4838.17,4838.8,1284
2024-01-03 04:15:00,4839.72,4840.2,4839.25,4839.38,1093
2024-01-03 04:30:00,4839.72,4840.59,4839.02,4839.94,971
2024-01-03 04:45:00,4840.56,4841.55,4839.55,4840.48,1362
2024-01-03 05:00:00,4841.31,4842.26,4840.15,4841.0,713
2024-01-03 05:15:00,4841.34,4842.01,4840.45,4841.5,938
2024-01-03 05:30:00,4842.21,4842.99,4841.28,4841.98,986
2024-01-03 05:45:00,4842.11,4842.99,4841.79,4842.44,1392
2024-01-03 06:00:00,4842.7,4843.46,4841.91,4842.88,940
2024-01-03 06:15:00,4843.11,4844.11,4842.82,4843.3,1113
2024-01-03 06:30:00,4843.11,4844.18,4842.26,4843.71,576
2024-01-03 06:45:00,4844.34,4845.1,4843.94,4844.1,1329
2024-01-03 07:00:00,4844.23,4845.21,4843.39,4844.47,944
2024-01-03 07:15:00,4844.83,4845.77,4844.58,4844.83,998
2024-01-03 07:30:00,4845.41,4845.61,4844.73,4845.17,596
2024-01-03 07:45:00,4845.73,4846.48,4845.12,4845.5,1192
2024-01-03 08:00:00,4846.16,4847.09,4845.1,4845.82,1132
2024-01-03 08:15:00,4846.09,4847.11,4845.83,4846.14,839
2024-01-03 08:30:00,4846.23,4846.56,4845.78,4846.45,1269
2024-01-03 08:45:00,4846.71,4847.63,4846.6,4846.75,1022
2024-01-03 09:00:00,4846.21,4848.03,4845.87,4847.05,556
2024-01-03 09:15:00,4846.63,4848.31,4846.15,4847.35,716
2024-01-03 09:30:00,4846.99,4847.89,4846.79,4847.65,758
2024-01-03 09:45:00,4847.46,4848.93,4846.79,4847.96,600
2024-01-03 10:00:00,4848.47,4849.37,4847.82,4848.27,1001
2024-01-03 10:15:00,4848.13,4849.43,4847.38,4848.58,538
2024-01-03 10:30:00,4848.72,4849.44,4848.03,4848.91,1022
2024-01-03 10:45:00,4849.9,4850.21,4848.76,4849.25,1201
2024-01-03 11:00:00,4849.42,4850.42,4848.54,4849.6,1079
2024-01-03 11:15:00,4850.33,4851.26,4849.3,4849.96,956
2024-01-03 11:30:00,4849.88,4850.68,4849.05,4850.34,767
2024-01-03 11:45:00,4850.64,4851.33,4850.23,4850.74,1397
2024-01-03 12:00:00,4850.68,4851.65,4850.09,4851.15,821
2024-01-03 12:15:00,4851.42,4852.52,4851.14,4851.59,1335
2024-01-03 12:30:00,4852.46,4852.59,4851.04,4852.04,943
2024-01-03 12:45:00,4851.65,4853.27,4851.33,4852.51,885
2024-01-03 13:00:00,4853.22,4853.87,4852.67,4853.0,1193
2024-01-03 13:15:00,4853.63,4853.76,4853.35,4853.51,1473
2024-01-03 13:30:00,4853.74,4854.79,4853.41,4854.04,1285
2024-01-03 13:45:00,4853.87,4854.71,4853.08,4854.59,1092
2024-01-03 14:00:00,4855.2,4855.98,4854.43,4855.16,606
2024-01-03 14:15:00,4855.48,4856.31,4855.27,4855.75,1265
2024-01-03 14:30:00,4856.47,4857.41,4855.92,4856.35,1285
2024-01-03 14:45:00,4856.99,4857.15,4856.5,4856.98,907
2024-01-03 15:00:00,4858.41,4859.27,4856.91,4857.61,862
2024-01-03 15:15:00,4858.14,4858.42,4857.63,4858.26,696
2024-01-03 15:30:00,4858.42,4859.34,4857.79,4858.93,1480
2024-01-03 15:45:00,4859.69,4860.18,4858.74,4859.6,671
